,open,high,low,close,volume,symbol,MA20,MA50,daily_return,volatility_20,cumulative_return
2025-10-23,259.94,260.62,258.0101,259.58,32754941.0,AAPL,,,,,
2025-10-24,261.19,264.13,259.18,262.82,38253717.0,AAPL,,,0.012481701209646312,,0.012481701209646312
2025-10-27,264.88,269.12,264.6501,268.81,44888152.0,AAPL,,,0.02279126398295417,,0.03555743893982588
2025-10-28,268.985,269.89,268.15,269.0,41534759.0,AAPL,,,0.0007068189427477112,,0.036289390553971845
2025-10-29,269.275,271.41,267.11,269.7,51086742.0,AAPL,,,0.0026022304832713505,,0.03898605439556202
2025-10-30,271.99,274.14,268.48,271.4,69886534.0,AAPL,,,0.006303299962921782,,0.045535095153709904
2025-10-31,276.99,277.32,269.16,270.37,86167123.0,AAPL,,,-0.0037951363301399477,,0.041567146929655685
2025-11-03,270.42,270.85,266.25,269.05,50194583.0,AAPL,,,-0.004882198468765031,,0.03648200939979973
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,AAPL,,,0.0036796134547483206,,0.04029586254719186
2025-11-05,268.61,271.7,266.93,270.14,42586288.0,AAPL,,,0.00037031550881327924,,0.04068110023884741
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,AAPL,,,-0.0013696601762049898,,0.03925572077972106
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,AAPL,,,-0.004818919820587686,,0.03424763078819648
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,AAPL,,,0.003575818527209673,,0.03794591262809166
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,AAPL,,,0.021601158000222664,,0.06036674628245642
2025-11-12,275.0,275.73,271.7,273.47,48397982.0,AAPL,,,-0.006466848319709229,,0.05350951537098414
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,AAPL,,,-0.0019014882802502742,,0.05150627937437413
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,AAPL,,,-0.0019783843194722817,,0.04942599583943319
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,AAPL,,,-0.01817113909181034,,0.030356730102473195
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,AAPL,,,-7.477753682783028e-05,,0.030279682564142263
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,AAPL,269.306,,0.004187855219862424,,0.034594344710686675
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,AAPL,269.6395,,-0.008601429848078657,0.009501492176783513,0.02569535403343881
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,AAPL,270.073,,0.019680751173708932,0.01006647936588019,0.04588180907620032
2025-11-24,270.9,277.0,270.9,275.92,65585796.0,AAPL,270.4285,,0.01631735975542381,0.009435970522323771,0.06294783881655008
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,AAPL,270.827,,0.003805450855320469,0.009450311903830637,0.06699283457893568
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,AAPL,271.21950000000004,,0.002094089612593386,0.00944788439732779,0.06922721319053893
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0,AAPL,271.592,,0.004683840749414525,0.00941121934983277,0.07423530318206373
2025-12-01,278.01,283.42,276.14,283.1,46587722.0,AAPL,272.2285,,0.01524116908732287,0.009812561054421007,0.0906079050774331
2025-12-02,283.0,287.4,282.6301,286.19,53669532.0,AAPL,273.0855,,0.010914871070293097,0.009835646789795285,0.10251174974959576
2025-12-03,286.2,288.62,283.3,284.15,43538687.0,AAPL,273.791,,-0.007128131660784853,0.010097756861014339,0.09465290083981825
2025-12-04,284.095,284.73,278.59,280.7,43989056.0,AAPL,274.319,,-0.012141474573288735,0.010617249729825936,0.08136220047769482
2025-12-05,280.54,281.14,278.05,278.78,47265845.0,AAPL,274.7695,,-0.006840042750267283,0.01077714083237778,0.07396563679790424
2025-12-08,278.13,279.6693,276.15,277.89,36406317.0,AAPL,275.2405,,-0.003192481526651747,0.01073140893732633,0.0705370213421681
2025-12-09,278.16,280.03,276.92,277.18,31753410.0,AAPL,275.62800000000004,,-0.0025549677930115644,0.010764931008389326,0.06780183373141235
2025-12-10,277.75,279.75,276.44,278.78,33038318.0,AAPL,275.8045,,0.005772422252687592,0.009740394027656116,0.07396563679790424
2025-12-11,279.095,279.59,273.81,278.03,33247986.0,AAPL,276.03249999999997,,-0.0026902934213358654,0.009630491443902153,0.07107635411048596
2025-12-12,277.9,279.22,276.82,278.28,39532887.0,AAPL,276.299,,0.0008991835413445504,0.009608389871570222,0.07203944833962539
2025-12-15,280.15,280.15,272.84,274.11,50409078.0,AAPL,276.384,,-0.014984907287623805,0.010240736883634353,0.05597503659758063
2025-12-16,272.82,275.5,271.79,274.61,37648628.0,AAPL,276.7415,,0.001824085221261429,0.009265943411602971,0.05790122505585926
2025-12-17,275.01,276.16,271.64,271.84,50138743.0,AAPL,276.9615,,-0.010087032518845018,0.009611595877124849,0.04723014099699485
2025-12-18,273.605,273.63,266.95,272.19,51630721.0,AAPL,277.143,,0.0012875220718069347,0.009580573493777894,0.04857847291779005
2025-12-19,272.145,274.6,269.9,273.67,144632048.0,AAPL,277.514,,0.0054373783019214805,0.00937412729515272,0.05427999075429524
2025-12-22,272.86,273.88,270.505,270.97,36571827.0,AAPL,277.488,,-0.00986589688310735,0.008644122902083915,0.04387857307959009
2025-12-23,270.84,272.5,269.56,272.36,29641999.0,AAPL,277.31000000000006,,0.005129719157102253,0.0078544143557013,0.04923337699360508
2025-12-24,272.34,275.43,272.195,273.81,17910574.0,AAPL,277.152,,0.005323836099280221,0.007906603790033781,0.05481932352261332
2025-12-26,274.16,275.37,272.86,273.4,21521802.0,AAPL,276.94449999999995,,-0.0014973887001936692,0.007884290914394652,0.053239848986824656
2025-12-29,272.69,274.36,272.35,273.76,23715213.0,AAPL,276.68999999999994,,0.0013167520117045584,0.007798230994077012,0.05462670467678543
2025-12-30,272.81,274.08,272.28,273.08,22139617.0,AAPL,276.18899999999996,,-0.002483927527761609,0.006813259218186243,0.05200708837352619
2025-12-31,273.06,273.68,271.75,271.86,27293639.0,AAPL,275.47249999999997,,-0.004467555295151526,0.006139955897046989,0.047307188535326006
2026-01-02,272.255,277.84,269.0,271.01,37838054.0,AAPL,274.8155,,-0.003126609284190507,0.00604732198884256,0.04403266815625195
2026-01-05,270.64,271.51,266.14,267.26,45647190.0,AAPL,274.1435,273.0032,-0.01383712778126267,0.0062017791126797485,0.02958625471916121
2026-01-06,267.0,267.55,262.12,262.36,52352090.0,AAPL,273.32250000000005,273.0588,-0.018334206390780428,0.007099391459902454,0.010709607828029544
2026-01-07,263.2,263.68,259.81,260.33,48309804.0,AAPL,272.4445,273.009,-0.007737459978655381,0.007177962234052806,0.002889282687417616
2026-01-08,257.02,259.29,255.7,259.04,50419337.0,AAPL,271.5375,272.8136,-0.004955249106902593,0.007186076036910416,-0.002080283534941385
2026-01-09,259.075,260.21,256.22,259.37,39996967.0,AAPL,270.567,272.62100000000004,0.0012739345274861424,0.006951977841057334,-0.000808999152477341
2026-01-12,259.16,261.3,256.8,260.25,45263767.0,AAPL,269.678,272.432,0.0033928364884141526,0.007123842508806311,0.002581092534093221
2026-01-13,258.72,261.81,258.39,261.05,45730847.0,AAPL,268.8165,272.225,0.00307396733909715,0.007207017371042549,0.005662994067339389
2026-01-14,259.49,261.82,256.71,259.96,40019421.0,AAPL,268.10900000000004,272.0168,-0.0041754453169892125,0.006658465876279587,0.0014639032282914854
2026-01-15,260.65,261.04,257.05,258.21,39388564.0,AAPL,267.289,271.8,-0.006731804893060467,0.0066323480863210325,-0.005277756375684173
2026-01-16,257.9,258.9,254.93,255.53,72142773.0,AAPL,266.4735,271.5098,-0.010379148754889322,0.006648954200965869,-0.015602126512058168
2026-01-20,252.73,254.79,243.42,246.7,77280987.0,AAPL,265.199,271.041,-0.03455562947599111,0.009592326150035977,-0.049618614685261075
2026-01-21,248.7,251.56,245.18,247.65,54641725.0,AAPL,263.898,270.59860000000003,0.0038508309687881326,0.009508883859100222,-0.04595885661453136
2026-01-22,249.2,251.0,248.15,248.35,39708340.0,AAPL,262.767,270.1962,0.0028265697557035008,0.009586010835945473,-0.04326219277294119
2026-01-23,247.32,249.41,244.68,248.04,41688982.0,AAPL,261.551,269.7684,-0.0012482383732635993,0.009359039584694641,-0.04445642961707408
2026-01-26,251.48,256.56,249.8,255.41,55969234.0,AAPL,260.631,269.3716,0.029712949524270282,0.0119528552832628,-0.016064411742045204
2026-01-27,259.17,261.95,258.21,258.27,48787855.0,AAPL,259.8745,269.0676,0.011197682158098576,0.012388582240995075,-0.005046613760690821
2026-01-28,257.65,258.855,254.51,256.44,41287971.0,AAPL,259.0085,268.73740000000004,-0.0070856080845626,0.012385191500691421,-0.012096463517990985
2026-01-29,258.0,259.65,254.41,258.28,67253009.0,AAPL,258.2685,268.4548,0.007175167680548933,0.012600604130665227,-0.005008089991525244
2026-01-30,255.165,261.8999,252.18,259.48,92443408.0,AAPL,257.6495,268.29519999999997,0.004646120489391503,0.012697981924605169,-0.000385237691656104
2026-02-02,260.03,270.49,259.205,270.01,73913425.0,AAPL,257.59950000000003,268.3466,0.040581162324649256,0.01589741735342255,0.040180291239694466
2026-02-03,269.2,271.875,267.61,269.48,63799388.0,AAPL,257.7105,268.365,-0.0019628902633235246,0.01557447410039091,0.0381385314739191
2026-02-04,272.285,278.95,272.285,276.49,90545710.0,AAPL,258.41700000000003,268.5698,0.026013062193854797,0.015901121458289084,0.06514369365898731
2026-02-05,278.13,279.5,273.23,275.91,52977441.0,AAPL,259.196,268.6582,-0.0020977250533472658,0.01575476548319675,0.06290931504738406
2026-02-06,277.12,280.905,276.925,278.12,50453414.0,AAPL,260.15,268.70219999999995,0.00800985828712264,0.015675545293967596,0.07142306803297616
