,open,high,low,close,volume,symbol,MA20,MA50,daily_return,volatility_20,cumulative_return
2025-10-23,252.98,255.04,251.85,253.08,19901425.0,GOOGL,,,,,
2025-10-24,256.58,261.68,255.315,259.92,28655126.0,GOOGL,,,0.027027027027026973,,0.027027027027026973
2025-10-27,264.815,270.14,264.28,269.27,35235231.0,GOOGL,,,0.03597260695598625,,0.06397186660344523
2025-10-28,269.69,270.73,266.5,267.47,29738564.0,GOOGL,,,-0.006684740223567243,,0.05685949107001731
2025-10-29,267.75,275.336,267.67,274.57,43580277.0,GOOGL,,,0.026545033087822745,,0.0849138612296505
2025-10-30,291.59,291.59,280.06,281.48,74875990.0,GOOGL,,,0.025166624175984253,,0.11221748063853298
2025-10-31,283.21,286.0,277.03,281.19,39267945.0,GOOGL,,,-0.0010302685803610379,,0.11107159791370269
2025-11-03,282.175,285.53,279.8,283.72,29785996.0,GOOGL,,,0.008997475016892631,,0.12106843685791024
2025-11-04,276.75,281.27,276.26,277.54,30078369.0,GOOGL,,,-0.021782038629634903,,0.09664928085980673
2025-11-05,278.87,286.415,277.34,284.31,30283252.0,GOOGL,,,0.024392880305541542,,0.12339971550497819
2025-11-06,285.33,288.35,281.14,284.75,37173648.0,GOOGL,,,0.0015476064858781502,,0.1251382961909273
2025-11-07,283.205,283.78,275.19,278.83,34479588.0,GOOGL,,,-0.02079016681299395,,0.10174648332543024
2025-11-10,284.42,290.8,282.855,290.1,29557309.0,GOOGL,,,0.04041889323243564,,0.14627785680417227
2025-11-11,287.745,291.915,287.32,291.31,19842136.0,GOOGL,,,0.004170975525680687,,0.15105895369053224
2025-11-12,291.675,292.005,283.69,286.71,24829923.0,GOOGL,,,-0.015790738388658188,,0.13288288288288252
2025-11-13,282.34,282.84,277.24,278.57,29494040.0,GOOGL,,,-0.028391057165777167,,0.10071914019282424
2025-11-14,271.405,278.56,270.7,276.41,31647227.0,GOOGL,,,-0.00775388591736359,,0.09218428955271052
2025-11-17,285.775,293.95,283.57,285.02,52670192.0,GOOGL,,,0.03114937954487873,,0.12620515252094155
2025-11-18,287.915,288.8,278.2,284.28,49158743.0,GOOGL,,,-0.0025963090309452097,,0.12328117591275434
2025-11-19,287.16,303.81,286.63,292.81,68198944.0,GOOGL,279.067,,0.03000562825383435,,0.15698593330172228
2025-11-20,304.54,306.42,288.67,289.45,62025218.0,GOOGL,280.8855,,-0.011475017929715614,0.021522924839984293,0.14370949897265617
2025-11-21,296.415,303.92,293.845,299.66,74137697.0,GOOGL,282.8725,,0.03527379512869255,0.022001384030383556,0.18405247352615728
2025-11-24,311.13,319.48,309.595,318.58,85165123.0,GOOGL,285.338,,0.06313822331976215,0.024551116405416795,0.25881144302196857
2025-11-25,326.21,328.83,317.65,323.44,88632074.0,GOOGL,288.1365,,0.015255194927490834,0.024315337768747617,0.2780148569622247
2025-11-26,320.68,324.5,316.79,319.95,51373361.0,GOOGL,290.40549999999996,,-0.010790254761315898,0.024396971380504298,0.2642247510668556
2025-11-28,323.365,326.85,316.79,320.18,26018568.0,GOOGL,292.3405,,0.0007188623222378343,0.024099913166851887,0.265133554607238
2025-12-01,317.7,319.85,313.89,314.89,41182956.0,GOOGL,294.0255,,-0.01652195639952536,0.02460621416308138,0.24423107317844073
2025-12-02,316.74,318.38,313.91,315.81,35854744.0,GOOGL,295.63,,0.0029216551811743763,0.024604231088333,0.24786628733997063
2025-12-03,315.89,321.58,314.1,319.63,41838317.0,GOOGL,297.7345,,0.012095880434438433,0.023767844364139014,0.26296032874980146
2025-12-04,322.225,322.36,314.7,317.62,31240924.0,GOOGL,299.4,,-0.006288521102524758,0.023599417401022216,0.2550181760708068
2025-12-05,319.49,323.16,319.165,321.27,28851705.0,GOOGL,301.226,,0.011491719665008393,0.023609531487481995,0.26944049312470275
2025-12-08,320.05,320.44,311.2219,313.72,33403895.0,GOOGL,302.9705,,-0.02350048246023584,0.023780442607348667,0.23960802908171264
2025-12-09,312.37,317.99,311.895,317.08,30089731.0,GOOGL,304.31949999999995,,0.010710187428279783,0.02241776542240581,0.2528844634107783
2025-12-10,315.83,321.31,314.68,320.21,33428923.0,GOOGL,305.7645,,0.009871325848366252,0.0224470214950608,0.2652520941994616
2025-12-11,320.08,321.12,308.6,312.43,42353697.0,GOOGL,307.0505,,-0.024296555385528218,0.022936430941128134,0.2345108266160889
2025-12-12,313.7,314.87,305.56,309.29,35940170.0,GOOGL,308.5865,,-0.01005025125628134,0.02189294477204012,0.22210368262999758
2025-12-15,311.315,311.42,304.88,308.22,29151889.0,GOOGL,310.177,,-0.003459536357463877,0.02177719805196505,0.21787577050734863
2025-12-16,304.945,310.77,302.59,306.57,30585020.0,GOOGL,311.2545,,-0.005353319057815997,0.021047935984392734,0.21135609293503932
2025-12-17,308.01,308.09,296.12,296.72,43930358.0,GOOGL,311.8765,,-0.03212969305541957,0.022509778860968905,0.17243559348822424
2025-12-18,301.72,303.96,299.2308,302.46,33518048.0,GOOGL,312.35900000000004,,0.019344836883256722,0.02194020399310431,0.1951161688003782
2025-12-19,301.73,307.25,300.97,307.16,59943239.0,GOOGL,313.2445,,0.015539244858824519,0.021908359239430776,0.2136873715821075
2025-12-22,309.875,310.13,305.3,309.78,26429937.0,GOOGL,313.7505,,0.008529756478707906,0.020626228061835315,0.22403982930298594
2025-12-23,309.625,314.94,309.32,314.35,25478670.0,GOOGL,313.53900000000004,,0.014752404932532936,0.015179012202134733,0.24209736051841202
2025-12-24,314.77,315.08,311.92,314.09,10097361.0,GOOGL,313.0715,,-0.0008271035470018839,0.01471613844983235,0.24107001738580558
2025-12-26,314.48,315.085,312.275,313.51,10899017.0,GOOGL,312.7495,,-0.0018466044764239298,0.014549506964928198,0.23877825193614544
2025-12-29,311.365,314.02,310.62,313.56,19621777.0,GOOGL,312.4185,,0.00015948454594760797,0.014546738420548143,0.23897581792318534
2025-12-30,312.5,316.95,312.46,313.85,17380888.0,GOOGL,312.3665,,0.0009248628651614688,0.014078923243121757,0.24012170064801563
2025-12-31,312.845,314.58,311.44,313.0,16377689.0,GOOGL,312.226,,-0.0027083001433806375,0.014072229638147245,0.23676307886834125
2026-01-02,316.9,322.5,310.33,315.15,32009385.0,GOOGL,312.002,,0.0068690095846644095,0.013876053188030344,0.24525841631104695
2026-01-05,317.655,319.015,314.63,316.54,30195597.0,GOOGL,311.948,299.1902,0.004410598127875698,0.013851964881834862,0.2507507507507498
2026-01-06,316.4,320.94,311.78,314.34,31212101.0,GOOGL,311.60150000000004,300.41540000000003,-0.006950148480444951,0.013653626970017284,0.24205784732100422
2026-01-07,314.36,326.15,314.19,321.98,35104425.0,GOOGL,312.0145,301.6566,0.02430489279124526,0.013691827007091064,0.2722459301406661
